id,lat,lng,label,population,risk
11,-8.8583,13.2311,"Luanda",3965845,0.00015011702325580577
43,36.6942,3.2147,"Algiers",8395497,0.00031905729627441963
52,30.1219,31.4056,"Cairo",48049701,0.0010045452358604812
69,23.8433,90.3978,"Dhaka",57695473,0.0006883176114636136
73,25.2611,51.565,"Doha",698380,0.000184200988205337
84,42.6953,23.4061,"Sofia",2702359,0.00013058298274821914
103,5.6053,-0.1667,"Accra",9477081,0.00017268703240893294
105,24.9067,67.1608,"Karachi",16780358,0.0003086746211982319
108,33.6167,73.0992,"Islamabad",15343183,0.00010571269077670769
115,31.5217,74.4036,"Lahore",16428675,0.0001709253071118027
146,44.5722,26.1022,"Bucharest",5122809,0.00023195453374118483
151,31.7225,35.9933,"Amman",7093425,0.00024109814710325745
173,5.2972,100.2767,"Penang",2621408,0.000796138269941468
177,1.4842,110.3439,"Kuching",936145,0.00014347765960648722
179,1.6389,103.6703,"Johor Bahru",3162256,0.00024827344411678135
182,2.7456,101.7147,"Kuala Lumpur",8711663,0.006148808312966353
183,6.3386,99.7322,"Langkawi",116526,0.00013044372303882103
186,5.9372,116.0531,"Kota Kinabalu",1537665,0.001472148065209571
216,-6.8781,39.2025,"Dar Es Salaam",5846361,0.00018264525858244953
221,11.5467,104.8442,"Phnom Penh",12169535,0.0026273126748115605
222,13.4106,103.8128,"Siem Reap",4814927,0.0007470648654597437
223,10.5797,103.6369,"Sihanoukville",1091383,0.00031969455719386085
228,8.9778,38.7994,"Addis Ababa",20326311,0.0006303450784127227
256,24.9578,46.6989,"Riyadh",1668604,0.0001840758543473489
262,21.6794,39.1567,"Jeddah",1257462,0.00020293008938279385
271,33.8208,35.4883,"Beirut",4273551,0.00018895255970973076
276,47.4647,8.5492,"Zurich",2620529,0.000846411834367422
279,46.2381,6.1089,"Geneva",1102297,0.00029057734961697776
287,45.7431,16.0689,"Zagreb",1989266,0.00010607191014273362
296,-33.3931,-70.7858,"Santiago (CL)",10366280,0.0003159094846757545
310,41.6992,86.1303,"Korla",1069639,0.00013412643102965761
311,41.1025,121.0619,"Jinzhou",4242220,0.0006518564388832447
312,35.2931,116.3467,"Jining",25722140,0.0004893980840039735
313,46.1947,122.0083,"Ulanhot",3271330,0.00018063624312942406
314,49.2086,119.8167,"Hailar",851974,0.0004271922497433539
315,30.5786,103.9472,"Chengdu",62854385,0.03491233346591296
316,34.2294,117.2458,"Xuzhou",20796535,0.00019490853039461076
317,40.9264,107.7389,"Bayannur",1447780,0.0001284445584818224
319,41.5414,120.4339,"Chaoyang",3891636,0.00020596154868940758
321,42.8408,93.6708,"Hami",560104,0.00011056696146070925
322,39.1244,117.3461,"Tianjin",14241195,0.012404330485535277
323,28.8003,104.545,"Yibin",52581734,0.0008097453086324452
325,29.7194,106.6419,"Chongqing",16205267,0.026393729819889616
327,36.6469,119.1186,"Weifang",9193768,0.0006058059795703189
328,37.1872,122.2289,"Weihai",2392348,0.0021906636157714788
329,46.75,125.1392,"Daqing",6192883,0.0005970998404282418
330,27.8111,107.2461,"Zunyi",7545282,0.0028518565783985897
334,30.8039,108.4272,"Wanzhou",6879185,0.00046722245985390885
336,46.8433,130.4653,"Jiamusi",4290598,0.0001784397009429874
337,26.2572,105.8728,"Anshun",4959935,0.0004287251626109687
338,27.8833,109.3083,"Tongren",3899266,0.0006226307471158313
339,42.065,127.6025,"Baishan",3207170,0.0011030968980450405
340,40.0922,94.6817,"Dunhuang",506179,0.00032351161335804487
341,27.8033,114.3078,"Yichun (Jiangxi)",6299510,0.0002941388353221551
343,36.5167,103.6167,"Lanzhou",6850245,0.006832686310513786
344,27.7069,118.0031,"Wuyishan",6414192,0.0003832173486462151
345,23.4567,111.2481,"Wuzhou",11705775,0.00663137152887539
346,31.4947,120.4294,"Wuxi",7494542,0.0270743800783669
347,39.7925,106.7994,"Wuhai",1112404,0.0001991328039438432
348,34.4478,108.7539,"Xi'an",22353249,0.02485475155577244
349,39.4922,109.8631,"Ordos",1651796,0.0008561144569082914
352,37.5078,118.7894,"Dongying",10565224,0.0022529372254392246
353,32.1506,112.2908,"Xiangyang",11750932,0.0024838744962068136
354,25.0536,99.1681,"Baoshan",2095138,0.00012865660655469617
355,40.5606,109.9964,"Baotou",3343659,0.0012364609560640194
357,45.2925,131.1919,"Jixi",2822034,0.0001028741362922844
358,45.6233,126.2503,"Harbin",12100114,0.012656630195548963
360,30.3211,109.4853,"Enshi",3774134,0.0004363483586929226
361,36.6367,109.5533,"Yan'an",3357246,0.0002948321288675344
362,31.9194,119.7783,"Changzhou",6991084,0.0007108343181053119
363,23.4275,116.7625,"Shantou",16909762,0.005554375893256829
366,36.0789,106.2164,"Guyuan",5702804,0.0004120946383922029
367,32.39,105.6931,"Guangyuan",7423759,0.001208863832651373
368,43.5575,122.2,"Tongliao",4930093,0.0002926027148191894
370,29.9347,122.3619,"Zhoushan",1484739,0.000475335912673242
371,22.7947,100.9592,"Simao",2213550,0.000160333242660411
372,29.2981,90.9122,"Lhasa",1019683,0.00047389026609394606
373,18.3028,109.4122,"Sanya",2888131,0.013809150786909728
374,47.7514,129.0178,"Yichun (Heilongjiang)",2862117,0.00032967305207263516
375,26.6742,100.2436,"Lijiang",1495973,0.002312191326031511
376,25.935,119.6633,"Fuzhou",10913454,0.006920632433700728
377,27.7917,99.6781,"Deqen",748566,0.00019373711320967303
378,37.4017,121.3717,"Yantai",6160152,0.006006173890089208
379,43.9072,87.4742,"Urumqi",5237049,0.008629860456446044
380,34.5719,118.8739,"Lianyungang",7795627,0.0010204553661502832
381,34.7414,112.3894,"Luoyang",11740472,0.0013297616149570868
382,35.0494,118.4119,"Linyi",12843250,0.002476476908201825
383,43.9553,81.3289,"Yining",1687819,0.0002462463266555239
386,37.0381,79.865,"Hotan",1394729,0.0001865193034556963
387,38.27,109.7306,"Yulin",3211960,0.0005696320434440144
388,25.6503,100.3194,"Dali",3767440,0.0009261689688928054
389,24.7956,118.5881,"Quanzhou",9437088,0.005877685840327979
391,36.2661,120.3744,"Qingdao",8200069,0.019197038267396938
392,38.5419,102.3486,"Jinchang",2050162,0.0002288203273163942
393,29.5147,108.8317,"Qianjiang",3949506,0.00019376849340831066
394,38.9656,121.5386,"Dalian",5749540,0.014083877619603617
395,32.5631,119.7189,"Yangzhou",8985870,0.0002932588699160796
397,24.2078,109.3914,"Liuzhou",8005244,0.0016637226890814907
398,28.8528,105.3933,"Luzhou",9659760,0.001124543932567929
399,21.9731,100.7631,"Jinghong",1382281,0.0016801670296838012
400,27.9892,102.1844,"Xichang",4562370,0.00015345075206524603
402,30.5569,111.4797,"Yichang",11664371,0.0016951198372289519
403,29.345,120.0325,"Yiwu",6139309,0.0010814443166648584
404,29.1044,110.4431,"Zhangjiajie",2982561,0.001738484113877229
405,31.4289,104.7408,"Mianyang",8917604,0.002520050984903852
406,41.1056,122.8561,"Anshan",8750351,0.0009934197273576925
407,29.8267,121.4619,"Ningbo",6757958,0.022807600659849762
408,36.5258,114.425,"Handan",26271177,0.0011898928392951123
410,38.8075,100.6608,"Zhangye",1204657,0.00034517126994662773
411,39.9678,119.7292,"Qinhuangdao",4523764,0.00030205323739253775
413,41.6397,123.4833,"Shenyang",13195977,0.013928966802245039
414,24.4014,98.5322,"Mangshi",1327739,0.0006178426765528151
415,43.0303,89.0972,"Turpan",816835,0.00016684748034694218
416,23.7389,100.025,"Lincang",2848292,0.00012646531824196043
417,26.54,101.7981,"Panzhihua",4045241,0.00024513449851947623
418,30.7939,106.1597,"Nanchong",12341109,0.0006201975602281654
420,40.08,116.5844,"Beijing",28331507,0.06498654794739192
421,24.9378,98.4856,"Tengchong",1002556,0.0004946162913251143
422,30.7403,117.6867,"Chizhou",4495819,0.00017617952021817905
425,39.8572,98.3414,"Jiayuguan",1106084,0.00020420173922931106
427,26.8578,114.7364,"Ji'an",5652245,0.0008035774130269156
428,40.0256,124.2869,"Dandong",3017061,0.0006337374576090237
429,40.8514,111.8242,"Hohhot",4401373,0.004469492619518283
430,24.5442,118.1278,"Xiamen",8240158,0.015798679336320703
431,45.4661,84.9539,"Karamay",5802370,0.0002334023080908172
432,32.9811,112.6156,"Nanyang",12735325,0.0007708993304174173
433,50.1717,127.3094,"Heihe",1020239,0.00019937631648130234
434,28.5653,121.4303,"Taizhou",5349916,0.0005627722124387035
435,29.3392,117.1764,"Jingdezhen",4398562,0.00036144417851209876
436,44.5242,129.5689,"Mudanjiang",3143833,0.0005134132384735712
437,25.0856,104.9594,"Xingyi",7357766,0.0005020414834467607
438,31.9911,116.9892,"Hefei",14358834,0.0021621646958269094
439,36.5286,102.0403,"Xining",3472426,0.0020420831376255903
440,38.2806,114.6972,"Shijiazhuang",24520869,0.006253270134020186
